"course","reviewer"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/shekharsivaraman"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/38844"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/35142"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/soroushpour"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/kristinasekrst"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/pablocouto"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/43050"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/44229"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/jeffwinchell1"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/HeonkyuJin"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/savr3freedom"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/54335"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/44267"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/nicolaspipard"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/michael18"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/61387"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/46876"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/55014"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/48489"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/ilya1"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/nouguier"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/63704"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/64856"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/66014"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/66145"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/@greg"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/70322"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/71342"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/72129"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/73817"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/66923"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/73825"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/74905"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/70317"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/76144"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/76958"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/77564"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/78360"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/80523"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/70225"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/41773"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/82128"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/46413"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/81015"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/79737"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/74807"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/90109"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/90361"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/zzajic"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/53526"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/vedran.galetic1"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/nooptis"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/73990"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/94341"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/38313"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/95244"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/96103"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/94550"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/100402"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/kalpesh"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/101557"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/101738"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/87674"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/102352"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/sekrst"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/80166"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/gautam5"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/109093"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/110539"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/112242"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/simon19"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/114279"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/113847"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/115574"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/116413"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/12100"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/111751"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/53012"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/116217"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/124063"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/karthikeyansankaran"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/41347"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/gaurav25"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/131321"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/122078"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/132336"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/132883"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/134199"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/137823"
"https://www.class-central.com/mooc/835/coursera-machine-learning","/accounts/profile/bernardocampos"
"https://www.class-central.com/mooc/835/coursera-machine-learning","https://www.class-central.com/u/139204"
