title,provider,subject,school,language,commitment_time,session,course_length(weeks),review count interval(강의시작일 + 강의수업길이 + 1분기<3개월>),review_count (from session start to the interval),total_review_count,total_review_average,pace,certification_available,url,level,price,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-06-27,5,2016-11-01,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-05-30,5,2016-10-04,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-05-02,5,2016-09-06,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-04-04,5,2016-08-09,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-03-08,5,2016-07-12,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2016-01-09,5,2016-05-13,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2015-10-03,5,2016-02-07,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2015-08-29,5,2016-01-03,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2015-07-11,5,2015-11-15,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
An Introduction to Interactive Programming in Python (Part 1),Coursera,Software Development,Rice University,English,7-10 hours a week,2015-05-23,5,2015-09-27,,2813,4.942410238,In progress,Paid Certificate Available,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,null,null,,,
