,V1,V2,V3,V4,V5
https://www.class-central.com/mooc/4310/coursera-mastering-data-analysis-in-excel,excel,uncertainty,card,probability,credit
https://www.class-central.com/mooc/4269/coursera-hadoop-platform-and-application-framework,hadoop,hdfs,mapreduce,big,data
https://www.class-central.com/mooc/1728/coursera-software-security,security,attacks,lowlevel,exploits,defending
https://www.class-central.com/mooc/911/coursera-moralities-of-everyday-life,moral,morality,strangers,feelings,sense
https://www.class-central.com/mooc/523/coursera-songwriting-writing-the-lyrics,song,chorus,phrases,prosody,rhyme
https://www.class-central.com/mooc/380/coursera-introductory-human-physiology,notes,system,invideo,endocrine,videos
https://www.class-central.com/mooc/2943/coursera-positive-psychology,positivity,positive,lovingkindness,resonance,psychology
https://www.class-central.com/mooc/1029/coursera-introduction-to-recommender-systems,recommender,recommenders,useruser,filtering,itemitem
https://www.class-central.com/mooc/701/coursera-terrorism-and-counterterrorism-comparing-theory-and-practice,terrorism,counterterrorism,fighters,assumptions,headlines
https://www.class-central.com/mooc/2900/coursera-psychological-first-aid,rapid,disposition,prioritization,stands,model
https://www.class-central.com/mooc/598/coursera-the-modern-and-the-postmodern-part-1,modernity,philosophy,enlightenment,baudelaire,nietzsche
https://www.class-central.com/mooc/617/coursera-english-composition-i,writing,comer,oped,revision,selfreflection
https://www.class-central.com/mooc/2717/coursera-cloud-computing-concepts-part-1,widelyused,computing,algorithms,keyvalue,distributed
https://www.class-central.com/mooc/706/coursera-competitive-strategy,strategic,analyse,strategy,market,products
https://www.class-central.com/mooc/2406/coursera-mining-massive-datasets,localitysensitive,mapreduce,hashing,pagerank,algorithms
https://www.class-central.com/mooc/1057/coursera-dino-101-dinosaur-paleobiology,dinosaur,dinosaurs,defence,tectonics,appearances
https://www.class-central.com/mooc/3433/coursera-algorithms-for-dna-sequencing,dna,sequencing,matching,algorithms,assembly
https://www.class-central.com/mooc/426/coursera-algorithms-design-and-analysis-part-2,algorithms,algorithm,mst,huffman,knapsack
https://www.class-central.com/mooc/1720/coursera-developing-data-products,shiny,rcharts,data,packages,week
https://www.class-central.com/mooc/4236/coursera-grammar-and-punctuation,commas,sentences,writing,grammar,conjunctions
https://www.class-central.com/mooc/625/coursera-introduction-to-corporate-finance,cash,discounted,flow,comfortable,money
https://www.class-central.com/mooc/502/coursera-the-ancient-greeks,athens,athenians,sparta,greek,war
https://www.class-central.com/mooc/816/coursera-child-nutrition-and-cooking,foods,eating,meal,childhood,supermarket
https://www.class-central.com/mooc/3289/coursera-finding-hidden-messages-in-dna-bioinformatics-i,dna,bioinformatics,hidden,description,messages
https://www.class-central.com/mooc/546/coursera-foundations-of-business-strategy,competitive,positioning,analyzing,firm,piaggio
https://www.class-central.com/mooc/1031/coursera-beginning-game-programming-with-c,submit,increment,monogamexna,programming,complete
https://www.class-central.com/mooc/730/coursera-exploring-beethoven-s-piano-sonatas,beethovens,sonata,sonatas,beethoven,music
https://www.class-central.com/mooc/522/coursera-introduction-to-guitar,guitar,chords,playing,instrument,scales
https://www.class-central.com/mooc/376/coursera-automata,automata,proofs,contextfree,regular,intractable
https://www.class-central.com/mooc/1705/coursera-the-french-revolution,revolution,revolutionary,terror,france,reflect
https://www.class-central.com/mooc/384/coursera-medical-neuroscience,sensory,motor,brain,neuroscience,sensation
https://www.class-central.com/mooc/2754/coursera-digital-analytics-for-marketing-professionals-marketing-analytics-in-practice,data,marketing,analytics,analysis,activities
https://www.class-central.com/mooc/2737/coursera-data-visualization,visualization,pattern,data,mining,discovery
https://www.class-central.com/mooc/596/coursera-mathematical-biostatistics-boot-camp-1,biostatistics,probability,bootstrapping,proportions,mathematical
https://www.class-central.com/mooc/4272/coursera-using-databases-with-python,database,sql,data,oriented,object
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,leadership,project,wbs,scheduling,teamwork
https://www.class-central.com/mooc/1355/coursera-buddhism-and-modern-psychology,buddhist,meditation,doctrines,mind,buddhism
https://www.class-central.com/mooc/505/coursera-coding-the-matrix-linear-algebra-through-computer-science-applications,vector,algebra,image,linear,matrix
https://www.class-central.com/mooc/5991/coursera-the-3d-printing-revolution,printing,printers,revolutionize,revolutionary,mba
https://www.class-central.com/mooc/3198/coursera-principles-of-computing-part-2,assertions,invariants,recursion,searching,trees
https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science,forensic,forensics,blood,poison,dead
https://www.class-central.com/mooc/4392/coursera-a-crash-course-in-data-science,data,science,sacrificing,crash,convenient
https://www.class-central.com/mooc/1726/coursera-developing-your-musicianship,minor,chord,pentatonic,song,blues
