"url","title","platform","institution","subject","language","keywords","totalReviewCount","totalReviewValue","time","timeReviewCount","timeReviewValue"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","45","2","10.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","46","2","9.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","47","9","44.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","48","5","24.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","49","11","51.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","50","8","38.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","51","10","44.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","52","8","38.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","53","6","29.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","54","6","28.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","55","6","30.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","56","9","42.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","57","11","54.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","58","6","26.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","59","10","49.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","60","3","15.0"
"https://www.class-central.com/mooc/835/coursera-machine-learning","Machine Learning","Coursera","Stanford University","Artificial Intelligence","English","machine,neural,regression,linear,logistic,recommender,algorithm,machines","202","4.75","61","5","24.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","30","1","5.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","41","1","3.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","44","1","5.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","45","1","5.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","47","2","9.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","49","1","5.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","52","1","3.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","55","1","5.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","56","4","19.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","57","5","23.0"
"https://www.class-central.com/mooc/317/coursera-model-thinking","Model Thinking","Coursera","University of Michigan","Sociology","English","models,section,tipping,randomness,model,theorem,fishers,lyapunov","19","4.5789475","60","1","5.0"
"https://www.class-central.com/mooc/305/coursera-software-as-a-service","Software as a Service","Coursera","University of California, Berkeley","Web Development","English","discuss,examine,identify,list,recognize,understand,aaba,aaron","1","2.0","56","1","2.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","12","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","14","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","15","2","9.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","18","2","8.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","19","4","19.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","20","2","8.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","21","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","23","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","25","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","30","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","31","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","32","1","4.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","33","2","9.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","34","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","35","3","15.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","36","2","9.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","37","1","4.5"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","38","2","10.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","41","2","10.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","42","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","44","1","5.0"
"https://www.class-central.com/mooc/374/coursera-algorithms-design-and-analysis-part-1","Algorithms: Design and Analysis, Part 1","Coursera","Stanford University","Theoretical Computer Science","English","algorithms,bigoh,heaps,quicksort,conquer,cuts,contraction,bloom","56","4.821429","45","2","10.0"
